datetime,content,title
2018/10/11 22:30,美国10月5日当周EIA天然气库存变动 900亿立方英尺，预期 920亿立方英尺，前值 980亿立方英尺。,
2018/10/11 22:29,美国白宫顾问Kudlow：总统特朗普没有指示采取任何特殊措施来稳定市场。,
2018/10/11 22:28,现货黄金涨幅超过1.5%，刷新日高至1213.20美元/盎司，较日低反弹约22美元。,
2018/10/11 22:25,意大利副总理Di Maio：政府将单一银行业的利息支付削减税收减免力度。,
2018/10/11 22:23,WBA上涨2.5%。,
2018/10/11 22:20,高盛将在伦敦之外开设英国办公司。,
2018/10/11 22:19,离岸人民币兑美元涨破6.90元关口，刷新日高，亚太早盘一度跌至6.9431元。,
2018/10/11 22:17,维多利亚的秘密母公司L Brands（LB）涨超11%。,
2018/10/11 22:15,Paypal（PYPL）目前上涨0.7%，盘初一度涨超3%。,
2018/10/11 22:11,RH（RH）涨超9%；该公司周四宣布回购至多7亿美元股票。,
2018/10/11 22:07,美国白宫顾问Kudlow：总统特朗普并没有向美联储发号施令。美国经济非常、非常稳固，这将为股市带来信心。,
2018/10/11 22:05,美国航空股上涨，此前达美航空公布财报；达美航空（DAL）上涨4.7%，精神航空（SAVE）上涨3.4%，联合大陆（UAL）上涨3.2%，西南航空（LUV）上涨1.1%。,
2018/10/11 22:04,美国证券交易委员会（SEC）主席Clayton：个人希望更大范围的市场参与。希望扩大私人股权和创投资本的准入通道。并不希望改变私人股权的架构。,
2018/10/11 22:04,GoDaddy（GDDY）上涨3.6%，此前花旗将该公司评级上调至买入。,
2018/10/11 22:02,亚马逊（AMAN）为仓库开发分拣机器人。,
2018/10/11 22:00,【美股汽车股上涨】在美上市菲亚特克莱斯勒上涨约3%，通用汽车涨超2%，特斯拉和福特汽车涨超1%，在美上市丰田汽车和法拉利涨约0.4%；蔚来汽车跌超7%。,
2018/10/11 21:59,纳斯达克100指数涨幅扩大至1%。,
2018/10/11 21:56,美元兑日元上涨约0.2%，刷新日高至112.49，较日低反弹51点，追随美国三大股指转涨的表现。,
2018/10/11 21:52,美股低开高走，三大股指翻红转涨，纳指涨0.5%，道指、标普涨0.1%。美国科技股里，苹果涨0.7%，亚马逊跌幅收窄至1.2%，特斯拉涨1.4%，Facebook涨1%。,
2018/10/11 21:51,中信里昂将宝尊电商ADR评级上调至买入。,
2018/10/11 21:50,离岸人民币兑美元涨幅超过200点，刷新日高至6.9031元。,
2018/10/11 21:49,【Intel B360芯片组从10月份起将减产多达30％，进入严重缺货状态】受制于14nm工艺产能问题，Intel处理器、芯片组近来的缺货问题相当严重，也引发了大面积、大幅度的涨价。B360主板是Intel目前在主流市场上的绝对销售主力，如今骤然大幅减产，料将引发市场动荡。,
2018/10/11 21:48,美国五角大楼暂时暂停F-35飞机的运营。,
2018/10/11 21:47,美国证券交易委员会（SEC）主席Clayton：虽然美国股市10月10日出现波动，但市场“功能（仍然）良好”。SEC已经关注10月10日后期的市场是如何运作的。,
2018/10/11 21:47,Snap（SNAP）上涨4.7%。,
2018/10/11 21:46,福特（F）将2018年第四季度股息设定在0.15美元/股。,
2018/10/11 21:46,美国10月7日当周彭博消费者舒适度指数降至59.5，9月30日当周以61.6创2000年12月份以来新高。,
2018/10/11 21:46,Malmstrom：欧盟对美国就所有工业产品和汽车展开谈判，并持开放态度。,
2018/10/11 21:39,摩根士丹利将Best Buy（BBY）目标价上调至80美元，此前为78美元。摩根士丹利将DKS目标价上调至36美元，此前为35美元。摩根士丹利将沃尔玛（WMT）目标价上调至102美元，此前为98美元。,
2018/10/11 21:39,阿里巴巴涨1%。,
2018/10/11 21:38,【江苏40余家印染企业紧急限产，为期一个月】10月10日，江阴市升辉热能有限公司发布减产调峰通知：应上级要求该公司将限产20%，自2018年10月11日-11月9日期间每天早上8:00-晚上16:00实施用汽调峰，共分为5组，涉及印染企业40余家。,
2018/10/11 21:38,【三门核电1号机组临时验收证书签发】10月11日，三门核电1号机组临时验收签字见证活动在三门举行。三门核电有限公司分别与国家电力投资集团有限公司、西屋电气有限公司、国核工程有限公司、哈电三菱联合体、浙江火电建设有限公司签署了临时验收证书。临时验收证书的签署标志着三门核电1号机组所有合同设备运行正常且机组性能保证值达到了合同约定要求。,
2018/10/11 21:36,苹果跌超1%，亚马逊跌超2.1%。,
2018/10/11 21:36,达美航空上涨4.4%，该公司周四盘前公布财报。,
2018/10/11 21:36,KBW将ICE目标价上调至85美元，此前为84美元。KBW将CME目标价上调至177美元，此前为170美元。KBW将NDAG目标价下调至95美元，此前为97美元。,
2018/10/11 21:35,中概股圣盈信下跌17%，蔚来汽车下跌6%。,
2018/10/11 21:34,纳指转涨。,
2018/10/11 21:33,【安徽将首次全面实施水泥错峰，文件正在起草中】从知情人士处获悉，安徽省将于2018年11月1日至2019年2月实行水泥错峰生产，目前文件正在起草中。这是安徽首次全面实施水泥错峰。文件或会表示禁止“一刀切”，而实施差异化错峰。据了解，海螺水泥旗下部分企业已经开始收缩发货，可能是为了应对未来的错峰。,
2018/10/11 21:32,美元指数刷新日低，目前跌0.32%暂报95.203，追随美国三大股指低开的表现。,
2018/10/11 21:32,阿里巴巴开盘跌2%，京东跌0.1%，百度跌1.6%。,
2018/10/11 21:31,【通胀率不及预期 美股小幅低开】道指跌0.4%，标普500跌0.3%，纳指跌0.2%。美国九月CPI增长0.1%，远低于预期。数据公布后，10年期国债收益率回落至3.167%。三大股指期货跌幅收窄，道指期货盘中一度跌超300点。,
2018/10/11 21:31,Imperial Capital将SAVE目标价上调至72美元，此前为69美元。,
2018/10/11 21:28,摩根士丹利将HP目标价上调至71美元，此前为62美元。,
2018/10/11 21:27,Leerink将雅培（ABT）目标价上调至75美元，此前为68美元。摩根士丹利将雅培（ABT）目标价上调至80美元，此前为70美元。,
2018/10/11 21:23,比特币日内再度下挫，现下破6200美元关口，暂于Bitstamp报6162.04美元/枚，创9月19日以来新低。主流交易所中，BTC只于Bitfinex险守6200美元关口。,
2018/10/11 21:22,摩根士丹利将德康医疗（DXCM）目标价上调至150美元，此前为130美元。,
2018/10/11 21:22,Paypal盘前上涨2.4%。,
2018/10/11 21:21,高盛将Lear （LEA）评级从中性上调至买入。高盛认为，这家汽车系统和零部件制造商的表现将超过其同行。盘前该股上涨4.5%。,
2018/10/11 21:21,【海航出售资产的步伐停不下来 正为境外9个项目找买家】记者从获得的一份文件中看到，海航集团正在为其境外的9个项目寻找买家。这9个项目分别为伦敦路透社大厦、铁狮门一期哈德逊Spiral项目、铁狮门二期布鲁克林Wheeler项目、铁狮门三期布鲁克林梅西项目、纽约曼哈顿Cassa酒店、大溪地波拉波拉瑞吉酒店、墨尔本AH五星培训中心、布鲁塞尔唐拉雅秀酒店和瑞信大厦。（澎湃）,
2018/10/11 21:20,摩根士丹利将强生（JNJ）目标价上调至153美元，此前为143美元。,
2018/10/11 21:18,Instinet将Paypal（PYPL）目标价下调至103美元，此前为120美元。,
2018/10/11 21:12,Jefferies将法拉利评级从买入下调至持有；Jefferies将法拉利目标价下调至132美元，此前为155美元。,
2018/10/11 21:10,Cowen and company将LVMH目标价下调至336欧元，此前为355欧元；Raymond James将LVMH目标价下调至316欧元，此前为331欧元；Invest Securities将LVMH目标价下调至255欧元，此前为291欧元；Telsey Advisory group将LVMH目标价下调至300欧元，此前为330欧元。,
2018/10/11 21:08,晚间公布的美国CPI数据不及预期，黄金市场受提振继续走高，日内涨幅超1.2%，重回1200美元/盎司上方。,
2018/10/11 21:02,【A股失守2600点，专家拟向监管层建言设平准基金】据悉，已有权威人士和专家学者加紧调研，拟向监管层建言，希望再次考虑设立万亿级股市平准基金，并进一步放宽保险资金和养老金的股市投资比例。据悉，相关建议还包括改进股市分红制度，提高现金分红比例等。 记者就此向证券监管部门有关人士求证，截止发稿，未获正面回应。（财经）,
2018/10/11 21:02,FTNT加入标普500指数。,
2018/10/11 21:01,在岸人民币兑美元逼近6.89关口，较日内低点涨逾400点。,
2018/10/11 21:01,摩根大通将HES目标价上调至68美元，此前为64美元。,
2018/10/11 21:00,【夜盘开盘，原油期货领跌】原油期货跌1.5%，沪镍、燃油跌1%。橡胶、郑棉、沥青、豆二等开盘下跌。沪铅、螺纹涨逾1%，热卷、焦煤、焦炭上涨。,
2018/10/11 21:00,【摩根士丹利认为股市大跌翻开了新兴市场熊市的最后一章】摩根士丹利指出，对美国资产持有的悲观看法，意味着资本不太可能会从世界其他国家抽离，转投这一世界第一大经济体，因而美元获得的支持减弱。价格走势很可能会令投资者感到鼓舞，认为新兴市场可以承受股市的波动。James Lord等分析师在一份报告中写道：“美国资产的疲软料可让我们进入新兴市场熊市的最后阶段”。“可能需要看到市场进一步走软，美联储的鹰派立场才会减弱，贸易局势才会降温，因此新兴市场短线可能面临进一步压力”。,
2018/10/11 20:57,Mizuho将Square（SQ）目标价下调至90美元，此前为95美元。,
2018/10/11 20:53,XP/IPESPE民调显示，巴西右翼总统候选人Bolsonaro支持率为51%，另一候选人Haddad支持率为36%。,
2018/10/11 20:52,Wedbush下调Gap（GPS）目标价至25美元，此前为32美元。,
2018/10/11 20:52,GE Power开始研究区块链技术。,
2018/10/11 20:52,【炼焦油价格持续拉涨 相关公司有望受益】近期炼焦油价格持续拉涨。继10月10日上涨1.82%之后，今日炼焦油参考报价再次上涨3.54%，最新报价已达到3772元/吨，近一个月涨幅9%。分析认为，近日山西、河北等地招标陆续出台，价格重心大幅拉涨超出市场预期，焦企信心受到提振，挺价意愿强，对后市价格指引向好。目前焦企库存处于低位，下游工业萘、沥青、蒽油等产品节后补库存需求旺盛，且报价也持续走高。炼焦油价格有望持续坚挺，行业公司有望受益。（怀新资讯）,
2018/10/11 20:51,【美国上周首申失业救济数据速评】美国上周首次申请失业救济人数意外增加，但仍处于近49年以来低位，且不太可能打破美国劳动力市场依然强劲的观点。上周首申人数增加7000人至21.4万人，其中南卡和北卡受飓风Florence的影响。波动性更小的首申失业救济人数四周均值增加2500人至20.95万人。目前劳动力市场被视为接近或充分就业，许多经济学家认为这帮助美国薪资增长更快，并推动美联储将在12月再次加息的预期。,
2018/10/11 20:50,【美丽生态：五岳乾坤减持近2%股份 公司未获通知】美丽生态10月11日晚间公告，公司查询股东名册时知悉，公司股东五岳乾坤于9月20日至28日期间减持公司1.97%股份，持股比例降至9.86%，期间公司未收到关于五岳乾坤减持公司股份的通知。截至目前，五岳乾坤所持公司股份均处于质押、冻结状态。公司正在联系五岳乾坤相关工作人员，暂未收到答复。今年8月，原为公司控股股东的五岳乾坤部分持股被司法拍卖，致公司大股东变更。,
2018/10/11 20:47,【受夏季持续高温影响，鲜海参价格创近10年新高】由于此前7月份以来辽宁地区受持续高温影响，大连市海参养殖业的数量大幅减少。数据显示，辽宁省海参养殖面积184.4万亩，海参受灾损失面积95万亩，损失产量6.8万吨。目前正值海参秋季捕捞的季节，活海参最高收购价达到每斤120元，预计后期价格还会有所提高。（中国水产网）,
2018/10/11 20:47,【基金业协会：市场最差的时候就是投资最好的时候】中国证券投资基金业协会私募股权及并购投资基金专业委员会2018年度第二次工作会议10日在北京召开。会议重点围绕并购基金积极参与资本市场等热点话题进行了研讨;委员们积极交流观点和经验，认为“市场最差的时候就是投资最好的时候”、“专业机构在逢低投资”、“往往市场最惨淡的时候，就是PE投资最好的时候”，当前资本市场虽然有一定波动，但是较好的长期价值投资机会已经显现。同时，希望相关政府部门能够为并购基金参与资本市场提供便利的政策条件，加强市场流动性，让并购基金能够发挥其专业能力服务上市公司，有效配置资源，提升上市公司价值，最后能以市场化的方式退出。,
2018/10/11 20:46,【炼焦油价格持续拉涨，近一个月涨幅9%】据百川资讯监测，近期炼焦油价格持续拉涨。继10月10日上涨1.82%之后，今日炼焦油参考报价再次上涨3.54%，最新报价已达到3772元/吨，近一个月涨幅9%。河北部分产区单日上调幅度达到7%，报价已逼近3900元/吨。山西等地区报价更高，部分主产区报价已达到4260元/吨，本周涨幅已达到11%。,
2018/10/11 20:44,特朗普：在基建领域我可以和民主党人合作，担任总统耗费了我数十亿美元。,
2018/10/11 20:43,道指期货跌幅大幅收窄，目前微跌0.2%，此前一度跌260点；标普500指数期货、纳指期货由跌转涨。,
2018/10/11 20:43,【美国9月CPI速评】受租金成本增速放缓和能源价格下跌的影响，潜在的通胀压力似乎略微降温，美国9月CPI不及预期。9月CPI环比上涨0.1%，不及预期和前值；同比上涨2.3%，不及8月的2.7%。剔除波动较大的食品和能源部分，核心CPI连续第二个月环比上涨0.1%，同比则上涨2.2%。分项中，9月汽油价格下滑0.2%，食品价格整体持平。由于数据仅略低于分析师预期，通胀报告可能无法改变美联储将在12月政策会议上加息的预期，目前为止美国央行今年已加息三次。,
2018/10/11 20:42,【捷顺科技：下修前三季度业绩预告 净利润预降60%至40%】捷顺科技10月11日晚间披露业绩预告修正公告，此前公司预计前三季度盈利7311.6万元至1.34亿元。修正后，公司预盈4874.4万元至7311.6万元，同比下降60%至40%。影响利润的主要原因是智慧停车、城市停车等新业务暂未实现规模化收入；直销合同交付验收周期较长造成收入延后；部分大型项目出货及实施进度低于预计。截至9月底，公司已签订尚未确认收入的合同额超3.5亿元。,
2018/10/11 20:38,【2018年中国水源地环境问题整治任务已完成超七成】生态环境部副部长翟青11日在全国集中式饮用水水源地环境保护专项行动第三次视频会上通报称，截至10月10日，今年需要完成整治的1586个水源地的6251个环境问题中，已完成整治4640个，完成比例为74%，余下1611个问题正在整改过程中。（新华社）,
2018/10/11 20:38,【沪苏湖铁路获批 项目总投资367.95亿元】发改委就关于新建上海经苏州至湖州铁路可行性研究报告作批复：为完善长江三角洲地区交通网络布局，促进区域经济社会一体化发展，同意新建上海经苏州至湖州铁路。从批复中可看到，该铁路等级为高速铁路。据悉，该项目总投资367.95亿元。,
2018/10/11 20:37,在岸人民币兑美元收复6.91关口，现报6.9080，较上日夜盘收盘涨160点。,
2018/10/11 20:37,【腾邦国际：拟收购主题公园运营商巧趣文化60%股权】腾邦国际10月11日晚间公告，公司有意向收购上海巧趣文化旅游发展有限公司60%的股权，初步确定收购价格为1.8亿元。巧趣文化是一家城市型主题公园连锁运营商，目前在上海、唐山、无锡等地有乐园项目，双方计划未来在南京、宁波、长沙等区域进行复制，共同打造更多主题公园。,
2018/10/11 20:37,众生药业：拟以1亿元-2亿元回购公司股份，回购价格不超过13元/股。,
2018/10/11 20:34,特朗普：美联储太激进了，他们正在犯下大错误。,
2018/10/11 20:33,亚光科技：预计前三季度盈利8500万元-9000万元，同比增长350%-376%。,
2018/10/11 20:31,加拿大8月新屋价格指数环比 0%，预期 0.1%，前值 0.1%。加拿大8月新屋价格指数同比 0.4%，预期 0.5%，前值 0.5%。,
2018/10/11 20:30,美元/日元短线走低10多个点，现货黄金走高逾2美元，美国10年期国债收益率下跌，标普500指数期货走高。,
2018/10/11 20:30,美国9月CPI环比 0.1%，预期 0.2%，前值 0.2%。美国9月CPI同比 2.3%，预期 2.4%，前值 2.7%。美国9月核心CPI同比 2.2%，预期 2.3%，前值 2.2%。,
2018/10/11 20:30,美国10月6日当周首次申请失业救济人数 21.4万人，预期 20.7万人，前值 20.7万人。,
2018/10/11 20:30,【昂利康：网上发行最终中签率为0.029%】昂利康10月11日晚间公告，本次网上定价发行有效申购户数为1188.25万户，有效申购股数为699.26亿股。回拨后，网上最终发行数量为2025万股，占本次发行总量90%，回拨后本次网上定价发行的中签率为0.0289593917%。,
2018/10/11 20:27,【俞敏洪谈刘强东事件：和钱多了有一定关系】 10月11日晚间消息，近日，在新东方青岛学校10周年庆典上，俞敏洪聊起了“刘强东事件”。虽然话说的不多，却很精辟，“和钱多了有一定关系”。俞敏洪补充说，“我没有豪车也没有私人飞机，也不去赌博，吃饭一碗兰州拉面就会幸福到天上去。”,
2018/10/11 20:26,【矿机巨头亿邦国际遭P2P银豆网诈骗案受害者上门讨债 或影响上市】作为三大矿机巨头之一的浙江亿邦通信科技股份有限公司（下称“亿邦国际”）遭遇银豆网案受害者上门讨债。7月18日，P2P平台银豆网爆雷，涉案金额高达44亿元人民币，受害人约2万人，实际控制人李永刚失联。,
2018/10/11 20:26,Walgreens Boots预计财年调整后每股收益6.40~6.70美元，市场预期6.45美元（预测区间6.31~6.58美元）。第四财季净销售额334.4亿美元，市场预期337.7亿美元（预测区间327.8~345.7亿美元）。第四财季调整后每股收益1.48美元，市场预期1.45美元（预测区间1.36~1.54美元）。第四财季美国零售药店可比销售额+ 0.3%，第四财季调整后毛利率+22.4%，市场预期 +23.3%。第四财季调整后运营利润 +5.4%。,
2018/10/11 20:24,陕西金叶：预计前三季度盈利2465万元-2755万元，同比增长240%-280%。,
2018/10/11 20:17,【紫光国微：向关联方出让DRAM企业西安紫光国芯，减轻资金投入】紫光国微公告，公司拟作价2.2亿元向关联方出让西安紫光国芯100%股权，交易将减轻资金投入压力，公司将专注于安全芯片设计领域。紫光国微介绍，西安紫光国芯是专业的DRAM存储器芯片设计公司，其持续加大产品开发投入，但受下游制造代工产能等方面的限制，短期内无法达到规模经济，资产负债率不断提高，已影响到其正常持续经营。,
2018/10/11 20:15,【银江股份：董事长等13名高管拟不低于2000万元增持】银江股份10月11日晚间公告，公司董事长吴越等13名高管计划在今年年内增持公司股份，合计拟增持金额不低于2000万元。本次增持计划的参与人的资金来源为自筹资金，不存在融资安排。,
2018/10/11 20:10,"【苏交科前三季度净利润预增10%-30%】苏交科披露前三季度业绩预告。公司预计2018年前三季度盈利33,505.42万元-39,597.31万元，比上年同期增长10%-30%。",
2018/10/11 20:09,【今日沪深两市主力资金净流出390.6亿元，创1月29日以来新高】Wind统计显示，今日沪深两市主力资金净流出390.6亿元，创今年1月29日以来新高。1月29日沪深两市主力资金净流出438.54亿元。行业板块主力资金流向方面，前三行业分别为：办公用品指数 (-0.08亿元)、软饮料指数 (-0.15亿元)、摩托车指数 (-0.18亿元)；后三行业分别为：基本金属指数 (-27.97亿元)、软件指数 (-22.43亿元)、银行指数 (-19.68亿元)。,
2018/10/11 20:09,德国法院驳回了高通针对苹果的专利诉讼。,
2018/10/11 20:08,【北上资金今日净流出35亿元 五只白马股遭集中卖出】10月11日，北上资金连续第四日呈现净流出，今日净流出额35.17亿元。盘后数据显示，贵州茅台、中国平安、五粮液、海康威视、恒瑞医药净流出额居前，分别遭净卖出8.93亿元、7.94亿元、5.33亿元、3.84亿元、3.42亿元，以上五股合计净流出29.47亿元，占今日净流出总额的84%。,
2018/10/11 20:06,【英国大麦供应紧张 啤酒或将涨价】据一份最新报告显示，在英国，刚刚过去的夏季高温天气极大地促进了啤酒的消费，但同时炎热的天气也严重影响了大麦的收成。截至8月底，英国大麦价格同比上涨37%。受此影响，英国的啤酒价格或将上涨。,
2018/10/11 20:05,发改委批复同意新建上海经苏州至湖州铁路可行性研究报告，同意建设沪苏湖铁路，项目总投资367.95亿元。,
2018/10/11 20:05,茂业通信：拟购买嘉华信息100%股权，进一步增强公司移动信息传输业务，拓展金融服务外包领域。,
2018/10/11 20:03,【刘纪鹏：股市有自身的纠错机制】中国政法大学商学院院长刘纪鹏面对“股票有底吗”的提问时说到：一方面，人不是机器，在这个市场，谁都无法克服自己的贪婪和恐惧，只要股市存在，股市的规则就存在，股市有自身的纠错机制。不同于普通商品，股票的价值在流通中体现，人们购买的是价值，更是一种“预期”，当下股市，信心比黄金重要，目前中国已经有了稳健的货币政策、宽松的财政政策，还应该推出积极的资本政策。,
2018/10/11 20:03,波罗的海干散货指数上涨1.47%，报1515点。,
2018/10/11 20:00,川润股份：前三季度预计盈利5600万元-8400万元，同比增长5252%-7928%，公司与自贡市大安区国有土地上房屋征收与补偿中心办理完成资产移交手续，完成该部分资产的正式交割。,
2018/10/11 20:00,中债金融估值中心：除个别期限外，今日利率债市场收益率整体下行。具体来看，SKY_3M上行4BP至1.87%；SKY_10Y下行4BP至3.58%。,
2018/10/11 19:57,【中国铁建牵头承担国家科研计划项目 获国拨经费1788万元】记者获悉，近日，由国务院国资委推荐、中国铁建牵头申报的“城市地下大空间安全施工关键技术研究”项目成功获国家重点研发计划立项，并获国拨经费1788万元，这也是中国铁建首次牵头承担国家科研计划项目。,
2018/10/11 19:56,山鼎设计：预计前三季度盈利1150万元-1350万元，同比增长70%-99%。,
2018/10/11 19:54,同益股份：预计前三季度盈利2400万元-2600万元，同比增长121%-139%，公司在移动智能终端、智能家电等领域实现了销售收入的快速增长。,
2018/10/11 19:51,【上期所发布《燃料油（期货）补充检验项目暂行规定》】为进一步加强燃料油品质管理，保障期货投资者利益，根据《上期所燃料油期货合约》有关质量规定，4家指定检验机构制定了《燃料油（期货）补充检验项目暂行规定》，并已在上期所进行备案，该补充检验项目涉及醇类、醚类、酚类等8项指标。,
2018/10/11 19:50,【海能达：拟1.68亿元转让融资租赁公司100%股权】海能达10月11日晚间公告，公司拟将海能达融资租赁公司100%股权分别转让给久旭科技、裕鋮有限公司，转让对价为1.68亿元。本次股权转让完成后，公司不再持有海能达融资租赁公司股权。该股权转让有利于公司聚焦主营业务。,
2018/10/11 19:48,【方大炭素：5000万元设立成都方大炭素研究院】方大炭素10月11日晚间公告，为加快碳材料产业创新，进一步推动公司碳材料产业延伸和拓展，公司拟以现金出资5000万元，在四川省成都市龙泉驿区设立全资子公司成都方大炭素研究院有限公司。,
2018/10/11 19:45,【北部湾港：前三季度货物吞吐量同比增13.68%】北部湾港10月11日晚间公告，前三季度公司港口货物吞吐量为1.35亿吨，同比增长13.68%，其中集装箱部分完成218.63万标准箱，同比增长30.17%。,
2018/10/11 19:45,【金科文化：拟出资1亿至8亿元回购股份】金科文化10月11日晚间披露回购股份预案，公司拟以1亿至8亿元，通过集中竞价、大宗交易等方式回购公司股份，回购价格不超过15元/股。回购股份拟用于依法注销减少注册资本或员工持股计划等激励措施，或予以注销。金科文化今日报收6.33元，公司认为目前股价不能正确反映公司价值。,
