news_type,industry,product,provider,provider_location,buyer_location,bill,行业,buyer,category
第一类新闻,物流机器人,自动导引车（AGV）,东芝基础设施系统,中游,下游,数亿日元。,Industry: Industrials,牧星智能科技有限公司,Industrials
第一类新闻,航空器零部件,,成都航新,中游,中游,,Industry: Industrials,中航工业,Industrials
第一类新闻,NB-IoT,,中兴,中游,下游,空。,Industry: Telecom.,中国移动,Telecom
第一类新闻,座椅系统,,天成自控,中游,下游,,Industry: Industrials,上海吉祥智驱新能源汽车有限公司,Industrials
第一类新闻,海上风电变桨轴承滚子,"海装,,,上海电气,,,金风科技",",,,,,,",,,,Industry: Energy.,,Energy
第一类新闻,饮品,,保龄宝,上游,中游,,Industry:Consumer Discretionary (CD),瑞幸咖啡,CD
第一类新闻,AEB业务,,东风,中游,下游,,Industry: Financials,广汽,Financials
第一类新闻,AEB业务,,东风,中游,下游,,Industry: Financials,重庆庆铃,Financials
第一类新闻,AEB业务,,东风,中游,下游,,Industry: Financials,四川现代,Financials
第一类新闻,电池,,LG能源,中游,上游,,Industry: Materials.,本田,Materials
第一类新闻,智能电动出行,,阿里,上游,下游,,Industry: Automotive,吉利,Unknown
第一类新闻,新冠变异株mRNA疫苗,,沃森生物,上游,中游,空。,Industry: HealthCare.,蓝鹊生物,HealthCare
第一类新闻,光伏,,西昌电力,中游,下游,空。,Industry: Energy,农垦罗家沟,Energy
第一类新闻,服务器,,英特尔,供应链位置未说明,下游,,Industry: IT,系统厂,IT
第一类新闻,电池,,尚太科技,中游,上游,,Industry: Materials,LG新能源,Materials
第一类新闻,啤酒,麦芽,苏垦麦芽,中游,下游,,Industry: Consumer Staples,百威啤酒,CS
第一类新闻,啤酒,麦芽,苏垦麦芽,中游,下游,,Industry: Consumer Staples,华润,CS
第一类新闻,啤酒,麦芽,苏垦麦芽,中游,下游,,Industry: Consumer Staples,燕京啤酒,CS
第一类新闻,啤酒,麦芽,苏垦麦芽,中游,下游,,Industry: Consumer Staples,珠江啤酒,CS
第一类新闻,电池,,LG能源,中游,中游,空。,Industry: Materials,韩华集团,Materials
第一类新闻,电池,,宁德时代,中游,下游,,Industry: Materials,蔚来,Materials
第一类新闻,液化天然气,,大阪燃气,中游,下游,空。,Industry: Energy,新的哈萨林2号运营商,Energy
第一类新闻,马达铁芯,,隆盛新能源,下游,上游,空。,Industry: Industrials.,金康动力,Industrials
第一类新闻,风电,,龙源技术,下游,上游,,Industry: Energy,国能科环望奎新能源有限公司,Energy
第一类新闻,工程勘察设计,,优刻得,中游,中游,,Industry: Industrials.,天强管理咨询,Industrials
第一类新闻,卫星通讯,Starlink,SpaceX,上游,下游,,Industry: Telecom,嘉年华邮轮(CCL.N),Telecom
第一类新闻,密封垫片,,密封科技,,"下游客户产业链位置,,中游",订单金额：空,Industry: Materials.,,Materials
第一类新闻,密封垫片,,密封科技,,"下游客户产业链位置,,中游",订单金额：空,Industry: Materials.,商用车市场,Materials
第一类新闻,新冠疫苗,,Moderna,中游,中游,,Industry:HealthCare.,,HealthCare
第一类新闻,服装加工,,上工申贝,中游,中游,空。,Industry: Industrials.,江苏阳光集团,Industrials
第一类新闻,镜头模块,,Genius Electronic Optical (GSEO),中游,下游,空。,Industry: IT,苹果,IT
第一类新闻,智能汽车,,百度,中游,,空。,Industry: IT,福州新区,IT
第一类新闻,汽车,设计文件,小米,"下游,,,模具打样公司",,空。,Industry: Industrials,,Industrials
第一类新闻,云服务,,道富银行(STT.N),,"上游,,,上游",空。,Industry: IT,亚马逊,IT
第一类新闻,云服务,,道富银行(STT.N),,"上游,,,上游",空。,Industry: IT,微软,IT
第一类新闻,锂电池,锂电池极片设备,,,,,Industry: Materials,北方华创,Materials
第一类新闻,光刻胶,ArF类,,,中游,,Industry: Materials.,国内晶圆制造企业,Materials
第一类新闻,半导体,碳化硅,安森美,中游,下游,,Industry: IT,大众,IT
第一类新闻,OLED面板,,三星,上游,下游,,Industry: IT,LG电子,IT
第一类新闻,锂盐,,雅化集团,上游,下游,,Industry: Materials,特斯拉,Materials
第一类新闻,铁矿石,中国矿运有限公司,淡水河谷,上游,,1亿吨。,Industry: Materials,,Materials
第一类新闻,锂矿物种,,赣锋锂业,上游,下游,,Industry: Materials,PMI,Materials
第一类新闻,AR/VR,,联合光电,整机组装,"|中游,,,下游",,Industry: IT.,乐相（大朋）,IT
第一类新闻,AR/VR,,联合光电,整机组装,"|中游,,,下游",,Industry: IT.,小派,IT
第一类新闻,AR/VR,,联合光电,整机组装,"|中游,,,下游",,Industry: IT.,亮亮视野,IT
第一类新闻,AR/VR,,联合光电,整机组装,"|中游,,,下游",,Industry: IT.,纳德,IT
第一类新闻,车用芯片,,鸿海,中游,下游,,Industry: Information Technology (IT),通用汽车,IT
第一类新闻,光伏领域,,力合微,,,,Industry: Energy.,太阳能光伏组件生产企业,Energy
第一类新闻,光伏领域,,力合微,,,,Industry: Energy.,光伏智能接线盒企业,Energy
第一类新闻,光伏领域,,力合微,,,,Industry: Energy.,电池企业,Energy
第一类新闻,光伏领域,,力合微,,,,Industry: Energy.,智慧管理系统开发及集成商,Energy
第一类新闻,弗迪动力,,宁容电子,中游,下游,,Industry: Industrials,比亚迪,Industrials
第一类新闻,人工智能,智能对话平台,初灵信息,中游,中游,,Industry: IT.,,IT
第一类新闻,汽车,,本田,下游,中游,,Industry: Industrials,本田,Industrials
第一类新闻,电动汽车,,LG能源,中游,中游,,Industry: Industrials,通用汽车,Industrials
第一类新闻,电池,,LG能源,上游,中游,,Industry: Materials.,通用汽车,Materials
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,宁德时代,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,比亚迪,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,欣旺达,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,松下,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,中航新创,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,蜂巢能源,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,贝特瑞,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,鸿博斯特,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,红太阳光电,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,瑞阳新能源,Energy
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,,音飞储存,中游,下游,空。,Industry: Energy,尚德,Energy
第一类新闻,建筑材料,环保生态墙地砖,成都建筑材料工业设计研究院有限公司,中游,下游,53.76亿元。,Industry: Materials,河北清峰绿能固废处置有限公司,Materials
第一类新闻,汽车零部件,,模塑科技,中游,下游,,Industry: Industrials,小米,Industrials
第一类新闻,海洋防污剂产品,北京奥得赛化学有限公司,北京金奥海洋科技发展有限责任公司,下游,,,Industry: Materials,,Materials
第一类新闻,电力产业,,重庆水务,下游,下游,1.4亿元,Industry: Energy,九龙县汤古电力开发有限公司,Energy
第一类新闻,医疗保健,,金陵药业,上游,下游,,Industry:HealthCare,安庆市石化医院,HealthCare
第一类新闻,智能汽车,,博世中国,中游,中游,,Industry: IT.,北汽,IT
第一类新闻,氢能,,"石化机械,,,中石化集团公司",上游,下游,空。,Industry: Energy,,Energy
第一类新闻,储能业务,,上能电气,上游,中游,,Industry: Energy.,欣旺达,Energy
第一类新闻,电池,,LG能源,上游,中游,19GWh。,Industry: Materials,FEPS,Materials
第一类新闻,混合现实（MR）平台,,三星,下游，下游,,,Industry: IT.,高通,IT
第一类新闻,太阳能发电站,,Wollar Solar,中游,下游,4400万美元。,Industry: Energy,Jinko Solar Australia,Energy
第一类新闻,VR内容,,恒信东方,上游,中游,,Industry: IT,Nreal,IT
第一类新闻,高压线缆,,卡倍亿,下游,下游,,Industry: Utilities,比亚迪,IT
第一类新闻,高压线缆,,卡倍亿,下游,下游,,Industry: Utilities,吉利,IT
第一类新闻,化工原料,,瑞联新材,上游,中游,,Industry: Materials,海融医药,Materials
第一类新闻,药品,Paxlovid,华海药业,下游,上游,,Industry: HealthCare,辉瑞,HealthCare
第一类新闻,服务器,,川大智胜,中游,上游,,Industry: IT,中兴,IT
第一类新闻,AI技术,GPT技术,,,,空。,Industry:IT,因赛集团,IT
第一类新闻,钙钛矿设备,,利元亨,,,,Industry: Materials.,冯•阿登纳,Materials
第一类新闻,钙钛矿设备,,利元亨,,,,Industry: Materials.,上海森松,Materials
第一类新闻,人工智能,图灵机器人开放平台,奥飞娱乐,上游生产商,中游供应商,,Industry: IT,北京光年无限科技有限公司,IT
第一类新闻,算力服务,,奥飞数据,中游,上游,,Industry: IT,百度,IT
第一类新闻,电池,,长久物流,中游,中游,,Industry: Materials.,北京昇科能源科技有限责任公司,Materials
第一类新闻,民用飞机复合材料零部件,波音,中国航空工业集团有限公司,下游,,空。,Industry: Industrials.,,Industrials
第一类新闻,新能源,,中兴,下游,中游,,Industry: Energy,双登集团,Energy
第一类新闻,锂,Livista Energy,CAA Mining,中游,,空。,Industry: Materials,,Materials
第一类新闻,电池级氢氧化锂,雅化锂业,LGC,下游,,约30000吨,Industry: Materials,,Materials
第一类新闻,建筑业,,北新融建,中游,下游,1.08亿元,Industry: RealEstate.,大南街幼儿园花滩总部,RealEstate
第一类新闻,光伏硅片,,天准科技,中游,下游,8110万元,Industry: Materials.,,Materials
第一类新闻,车规级PM2.5传感器总成,,四方光电,中游,下游,3.56亿元,Industry: Industrials,欧洲著名主机厂,Industrials
第一类新闻,车载人机交互,,四维图新,中游,中游,,Industry: IT,普强公司,IT
第一类新闻,纳微米材料,,远翔新材,中游,中游,,Industry: Materials,纳微微球研究所,Materials
第一类新闻,配网设备,"10KV油浸式变压器(非晶合金型除外),10KV预装式变电站(欧式,紧凑式),10KV户外开关箱配置SF6全绝缘断路器自动化成套柜,10KV柱上真空短路器自动化成套设备",石家庄科林电气设备有限公司,中游,下游,1.9816亿元含税。,Industry: Utilities,南方电网,IT
第一类新闻,人工智能,ChatGTP类人工智能应用,,,中游,,Industry: IT,首都在线,IT
第一类新闻,云计算,智慧人大平台解决方案,中科信息,中游,中游,,Industry: IT,中兴,IT
第一类新闻,除工控业务以外的其他业务,,,华南基地,上游,,Industry: Industrials.,英威腾,Industrials
第一类新闻,OLED屏幕,,"三星,,,LG",,,,Industry: IT,,IT
第一类新闻,OLED屏幕,,"三星,,,LG",,,,Industry: IT,,IT
第一类新闻,汽车,内饰皮革,兴业科技控股子公司宏兴汽车皮革,"中游,,,下游,,,空",,,Industry: Industrials.,"蔚来汽车,理想汽车,赛里斯问界系列,哪吒汽车,吉利汽车",Industrials
第一类新闻,太阳能业务,,科森科技,中游,中游,,Industry: Energy,特斯拉,Energy
第一类新闻,服务器,,"海得控制,,,空",,,,Industry: IT,,IT
第一类新闻,服务器,,"海得控制,,,空",,,,Industry: IT,,IT
第一类新闻,航空航天金属软管,,航天晨光,"下游,下游,下游",,空。,Industry: Industrials,"沈飞,成飞,西飞",Industrials
第一类新闻,家电,,苏宁易购,中游,下游,240亿元,Industry: Industrials,美的,Industrials
第一类新闻,新材料,,中国建材集团,中游,中游,,Industry: Materials,中兴,Materials
第一类新闻,云计算,,光环新网,中游,中游,,Industry: IT,百度,IT
第一类新闻,飞机测控产品,,西测测试,中游,中游,空。,Industry: Industrials.,中航电测公司,Industrials
第一类新闻,电阻应变计,,西测测试,中游,中游,空。,Industry: Industrials.,中航电测公司,Industrials
第一类新闻,应变式传感器,,西测测试,中游,中游,空。,Industry: Industrials.,中航电测公司,Industrials
第一类新闻,称重仪表,,西测测试,中游,中游,空。,Industry: Industrials,中航电测公司,Industrials
第一类新闻,机动车检测系统,,西测测试,中游,中游,空。,Industry: Industrials,中航电测公司,Industrials
第一类新闻,零部件,钟形壳、三柱壳、三球销部件,万向钱潮,下游,上游,,Industry: Industrials,特斯拉,Industrials
第一类新闻,铁矿石,,淡水河谷,中游,,空。,Industry: Materials,中国钢铁工业协会,Materials
第一类新闻,汽车,,毅昌科技,上游,,,Industry: Industrials,比亚迪,Industrials
第一类新闻,汽车,,毅昌科技,上游,,,Industry: Industrials,奇瑞,Industrials
第一类新闻,汽车,,毅昌科技,上游,,,Industry: Industrials,小鹏,Industrials
第一类新闻,汽车,,毅昌科技,上游,,,Industry: Industrials,零跑,Industrials
第一类新闻,汽车,,毅昌科技,上游,,,Industry: Industrials,合众,Industrials
第一类新闻,广告,,天龙集团,下游,上游,,Industry: Consumer Discretionary,网易,CD
第一类新闻,服务器,中兴,银信科技,中游,上游,,Industry: Information Technology (IT),中兴,IT
第一类新闻,半导体,SiC晶锭激光切片机,大族激光,,,,Industry: IT,,IT
第一类新闻,铁矿石和焦煤,,必和必拓集团,中游,上游,,Industry: Materials,中国钢铁工业协会,Materials
第一类新闻,固态电池,,"利元亨,,,国轩高科,,,苏州清陶能源",,,,Industry: Energy.,,Energy
第一类新闻,固态电池,,"利元亨,,,国轩高科,,,苏州清陶能源",,,,Industry: Energy.,,Energy
第一类新闻,固态电池,,"利元亨,,,国轩高科,,,苏州清陶能源",,,,Industry: Energy.,,Energy
第一类新闻,汽车,转向联接器,奔驰,中游,下游,,Industry: Industrials.,奔驰,Industrials
第一类新闻,物流,,阿里,中游,下游,,Industry: Industrials,义乌中心仓,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,大众,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,奔驰,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,捷豹路虎,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,特斯拉,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,蔚来,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,小鹏,Industrials
第一类新闻,智能装备,,巨一科技,,,空。,Industry: Industrials.,理想,Industrials
第一类新闻,新能源,总成配套服务,信质集团,中游,下游,,Industry: Energy,理想,Energy
第一类新闻,光储氢系统,,海泰新能,中游,上游,,Industry: Energy.,清华大学,Energy
第一类新闻,Micro OLED,SK海力士,LG Display,中游,,空。,Industry: IT,,IT
第一类新闻,云计算,,拓尔思,上游,中游,,Industry: IT,阿里,IT
第一类新闻,储能,,川环科技,中游,,,Industry: Energy.,比亚迪,Energy
第一类新闻,储能,,川环科技,中游,,,Industry: Energy.,英杰电气,Energy
第一类新闻,储能,,川环科技,中游,,,Industry: Energy.,西安奇点,Energy
第一类新闻,高带宽内存,HBM,SK海力士,供应链位置空,中游,订单金额空,Industry: IT,三星,IT
第一类新闻,光伏电池,帝尔,多个头部客户,上游,,订单金额：空,Industry: Energy.,,Energy
第一类新闻,光伏支架,,清源科技,中游,中游,,Industry: Energy.,北清光伏宝应鲁垛,Energy
第一类新闻,代表空,国产操作系统和数据库,,,下游,空物流订单。,Industry: Industrials,"中国移动各省公司,专业公司",Industrials
第一类新闻,光伏,微型逆变器,,,,ODM服务,Industry: Energy,光伏客户,Energy
第一类新闻,光伏设备,钙钛矿激光类设备,,,,空。,Industry: Energy,光伏头部企业,Energy
第一类新闻,太阳能光伏设备,,古鳌科技,中游,中游,空。,Industry: Energy.,比太科技,Energy
第一类新闻,汽车,纯电平台智能制造产线,国机汽车,中游,下游,2.68亿元,Industry: Industrials,上汽,Industrials
第一类新闻,智能技术,文心一言,蓝色宇宙,中游,下游,,Industry: IT,百度,IT
第一类新闻,人工智能技术,,神思电子,,下游,空。,Industry: IT.,服务大厅客户,IT
第一类新闻,游戏业务,,拓维信息,中游,下游,,Industry: IT,百度,IT
第一类新闻,磁性材料,横店东磁,特斯拉,下游,,空。,Industry: Materials,,Materials
第一类新闻,白酒,,茅台集团,中游,中游,空。,Industry: Consumer Staples.,复星集团,CS
第一类新闻,站台门设备,,鼎汉技术,中游,下游,9350.17万元,Industry: Industrials,北京市轨道交通建设管理有限公司,Industrials
第一类新闻,行业云,,中国稀土集团,中游,中游,,Industry: IT,中国移动,IT
第一类新闻,汽车电子,,宁波峰梅视讯,上游,下游,1324万元,Industry: Industrials.,宁波华翔,Industrials
第一类新闻,3D内容场景,,风语筑,中游,中游,,Industry: IT.,百度,IT
第一类新闻,光伏,,"日出东方,,,华能","下游,,,上游",,100MWp,Industry: Energy,,Energy
第一类新闻,光伏,,"日出东方,,,华能","下游,,,上游",,100MWp,Industry: Energy,,Energy
第一类新闻,PHY芯片,,裕太微,中游,下游,,Industry: IT,,IT
第一类新闻,人工智能,文心一言,高途,下游,上游,,Industry: IT,百度,IT
第一类新闻,高速公路,蓉城二绕公司,路桥集团,中游,中游,11.22亿元。,Industry: Industrials,四川成渝,Industrials
第一类新闻,AMOLED,,联得装备,中游,下游,8531.5万元,Industry: IT,京东,IT
第一类新闻,新能源材料,湿法冶炼项目设备,伟明环保,上游,下游,4.8亿元。,Industry: Materials,青美邦新能源材料有限公司,Materials
第一类新闻,"锂离子动力电池,动力润滑油,动力电池回收",龙蟠科技,上汽,中游,,空。,Industry: Materials,,Materials
第一类新闻,电池,,宁德时代,中游,上游,,Industry: Materials.,福特,Materials
第一类新闻,激光雷达,,瑞丰光电,中游,下游,,Industry:Industrials.,,Industrials
第一类新闻,多肽药物,未提及,雾芯科技,,,空。,Industry: Healthcare.,深圳湾实验室坪山生物医药研发转化中心,HealthCare
第一类新闻,数字资产,,数藏发行平台,中游,,,Industry: IT.,中国数字资产交易平台,IT
第一类新闻,屏幕,,京东,中游,下游,,Industry: IT,三星,IT
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,晶盛,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,隆基,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,捷佳,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,高景,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,双良,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,晶科,Industrials
第一类新闻,真空泵,,汉钟精机,下游,中游,,Industry: Industrials.,晶澳,Industrials
第一类新闻,重型机械,,连云港中重重型机械有限责任公司,上游,下游,,Industry: Industrials,中信重工,Industrials
第一类新闻,智能家居,文心一言AI,美的,中游,上游,,Industry: IT,百度,IT
第一类新闻,智能家居,AI生态,美的,中游,中游,,Industry: IT,百度,IT
第一类新闻,服务器,,神州数码,中游,下游,"9.54亿元(不含税),,,4.83亿元(不含税)",Industry: IT,山西产互,IT
第一类新闻,LPG液化气,,东华能源,上游,下游,1.27亿元,Industry: Energy.,宁波优嘉清洁能源供应链有限公司,Energy
第一类新闻,清洁能源,,东华能源,上游,下游,1.27亿元。,Industry: Energy,宁波优嘉清洁能源供应链有限公司,Energy
第一类新闻,电动汽车,塔塔汽车,优步,下游,,2.5万辆。,Industry: Industrials,,Industrials
第一类新闻,预镀镍材料,东方电热,东山精密,下游,,,Industry: Materials.,,Materials
第一类新闻,人工智能,,拓维信息,中游,上游,,Industry: IT,中兴,IT
第一类新闻,集成电路与模组封测业务,,高通,上游,下游,,Industry: Information Technology (IT),美光科技,IT
第一类新闻,语音智能,ChatGPT,微软,中游,中游,,Industry: IT,亿联网络,IT
第一类新闻,科技产品,,广发银行,中游,下游,,Industry: IT,中兴,IT
第一类新闻,储能,动力电池,欣旺达,供应链位置未知,下游,,Industry: Energy,中核汇能,Energy
第一类新闻,座舱产品,第三代智能座舱域控制器、4K高清屏等座舱产品,德赛西威,中游,下游,,Industry: Industrials,特定对象（未说明）,Industrials
第一类新闻,生猪,,京基智农,中游,下游,空。,Industry:Agriculture,深圳市场,Unknown
第一类新闻,船艇,128米趸船,江龙船艇,"上游,,空","下游,,空",1.13亿元。,Industry: Industrials,芜湖文旅,Industrials
第一类新闻,船艇,128米趸船,江龙船艇,"上游,,空","下游,,空",1.13亿元。,Industry: Industrials,芜湖交投,Industrials
第一类新闻,公有云服务,,贝壳,中游,上游,,Industry: IT,腾讯,IT
第一类新闻,电子元器件,,华贸物流,中游,上游,5000万元。,Industry: Information Technology (IT),天马微电子,IT
第一类新闻,智慧交通领域,4D毫米波雷达,华设集团,上游,中游,空。,Industry: IT,江苏源驶科技,IT
第一类新闻,充电桩,充电模块,,,中游,,Industry: Utilities,麦格米特,IT
第一类新闻,医学检验及病理诊断,,金域医学,中游,中游,,Industry: Healthcare,腾讯,HealthCare
第一类新闻,集装箱多式联运,,中国铁物,中游,中游,空。,Industry: Industrials.,中铁集装箱运输有限责任公司,Industrials
第一类新闻,NLP,Transformer,瑞芯微,上游,下游,,Industry: IT,有道,IT
第一类新闻,材料,,南方科技大学,中游,中游,,Industry: Materials,豪鹏科技,Materials
第一类新闻,新能源车型零部件,赛力斯,铭科精技,中游,,空。,Industry: Industrials.,,Industrials
第一类新闻,AR设备,,立讯精密,中游,中游,,Industry: IT.,苹果,IT
第一类新闻,航空测量,,中海达,,,,Industry: Industrials,大疆,Industrials
第一类新闻,基因编辑技术,,莫德纳公司,中游,中游,,Industry: HealthCare.,Life Edit,HealthCare
第一类新闻,天然气,,中国石化天然气有限责任公司,上游,下游,,Industry: Energy,国新能源,Energy
第一类新闻,钙钛矿,,"中自科技,,,空,,,空",,,,Industry: Materials,,Materials
第一类新闻,跨境电商,,优壹电商,中游,下游,,Industry:IT.,拼多多,IT
第一类新闻,电力,,宝新能源,上游,中游,,Industry: Energy,广东陆丰甲湖湾电厂,Energy
第一类新闻,新能源汽车零部件,,贝斯特,"中游,,,空",,,Industry: Industrials,众多知名企业,Industrials
第一类新闻,建材,瓦线,,,,,Industry: Materials,京山轻机,Materials
第一类新闻,免热合金材料,,顺博合金,中游,,空。,Industry:Materials,少数重点客户,Materials
第一类新闻,电机,,江苏机电公司,"下游,下游",,空。,Industry: Industrials,"西门子传动技术（上海）公司,中科航空动力（株洲）公司",Industrials
第一类新闻,电子元器件,,多家晶圆厂商,中游,下游,,Industry: IT,博通集成,IT
第一类新闻,车载毫米波雷达和激光雷达应用产品,,中京电子,中游,下游,,Industry: Industrials.,相关客户,Industrials
第一类新闻,储能设备,消防设备,威海广泰,中游,中游,空。,Industry: Energy.,,Energy
第一类新闻,高效组件,通威,Energy 3000 Solar GmbH,下游,,1GW,Industry: IT,,IT
第一类新闻,太阳能电池技术,钙钛矿电池技术,"纤纳光电,,,亚玛顿",,,,Industry: Energy,,Energy
第一类新闻,太阳能电池技术,钙钛矿电池技术,"纤纳光电,,,亚玛顿",,,,Industry: Energy,,Energy
