news_type,industry,product,provider,buyer,provider_location,buyer_location,bill
第一类新闻,锂电池,宜丰银锂锂电新能源有限公司,江西江特矿业,富临精工,下游,上游,4000万元
第一类新闻,药品,海灵药业,华信制药,中游,下游,空,空。
第一类新闻,药品,阿达木单抗注射液,迈威生物,君实生物,下游,中游,空
第一类新闻,图书,空,京东图书,当当网,中游,中游,空
第一类新闻,锂资源,空,西藏矿业,万华化学、倍杰特、地科院资源所,上游,中游、中游、中游,空
第一类新闻,纯电动汽车,黄海smile,宗申动力,黄海,生产/制造,下游,空
第一类新闻,电动观光车,空,宗申动力,空,生产/制造,下游,空
第一类新闻,汽车用线缆,空,卡倍亿,汽车线束厂商,中游,下游,空
第一类新闻,空,空,桂发祥,"抖音,快手",空,"下游,下游",空
第一类新闻,光模块,Arista 25/40/100G,空,北美一家重要数据中心客户,上游,中游,空
第一类新闻,Mini直显产品,空,空,空,战略客户,下游,空
第一类新闻,水资源配置工程,空,空,空,空,空,空
第一类新闻,数据安全能力支撑服务,空,东方通,陕西移动,中游,下游,空
第一类新闻,空,CIIC一体化智能底盘,时代智能,哪吒汽车,中游,下游,空。
第一类新闻,乘用车智能驾驶,空,小马智行,空,上游,中游,空。
第一类新闻,锂电池,空,科信技术,"中国移动,,,爱立信",上游,中游,9063.57万元
第一类新闻,UTG,空,长信科技,OPPO,中游,下游,空
第一类新闻,光储一体化项目,空,粤水电能源有限公司,巴楚能源公司,中游,下游,108.49亿元
第一类新闻,黄金,空,山东黄金,甘肃资管,上游,中游,空。
第一类新闻,光储一体化项目,空,粤水电建筑安装建设有限公司,巴楚县粤水电能源有限公司,中游,下游,108.49亿元
第一类新闻,电动汽车电池,空,三星SDI,宝马,中游,下游,空
第一类新闻,地图,谷歌地图,空,保时捷,谷歌,空,空
第一类新闻,钠离子电池,空,普利特控股子公司江苏海四达电源有限公司,中科海钠科技有限责任公司,下游,中游,空
第一类新闻,碳三,酚酮、双酚A,空,空,中游,中游,空
第一类新闻,电气元器件,空,宁德时代,众业达子公司,下游,上游,空
第一类新闻,物流机器人,自动导引车（AGV）,东芝基础设施系统,牧星智能科技有限公司,中游,下游,数亿日元。
第一类新闻,空,空,哈工大,中国移动,中游,上游,空
第一类新闻,航空器零部件,空,成都航新,中航工业,中游,中游,空
第一类新闻,NB-IoT,空,中兴通讯,中国移动,中游,下游,空。
第一类新闻,座椅系统,空,天成自控公司,上海吉祥智驱新能源汽车有限公司,中游,下游,空
第一类新闻,海上风电变桨轴承滚子,"海装,,,上海电气,,,金风科技","下游,,,下游,,,下游",中游,空,空,空
第一类新闻,饮品,空,保龄宝,瑞幸咖啡,上游,中游,空
第一类新闻,AEB业务,空,东风科技,"广汽日野,,,重庆庆铃,,,四川现代",中游,下游,空
第一类新闻,电池,空,LG能源,本田,中游,上游,空
第一类新闻,智能电动出行,空,阿里巴巴集团,吉利控股集团,上游,下游,空
第一类新闻,空,空,"尚太科技,,,比亚迪",空,空,空,空
第一类新闻,新冠变异株mRNA疫苗,空,沃森生物,蓝鹊生物,上游,中游,空。
第一类新闻,空,朗科大厦租赁,腾讯公司,朗科科技,下游,上游,空。
第一类新闻,显示模组,VR Quest2,长信科技,Meta,中游,下游,空
第一类新闻,光伏,空,西昌电力,农垦罗家沟,中游,下游,空。
第一类新闻,服务器,空,AMD、英特尔,系统厂,供应链位置未说明,下游,空
第一类新闻,电子烟,空,盈趣科技,空,上游,下游,空
第一类新闻,增强现实眼镜,空,蔚来,空,中游,下游,空
第一类新闻,电池,空,尚太科技,LG新能源,中游,上游,空
第一类新闻,啤酒,麦芽,苏垦麦芽,"百威啤酒,,,华润雪花,,,燕京啤酒,,,珠江啤酒",中游,下游,空
第一类新闻,电池,空,LG能源,韩华集团,中游,中游,空。
第一类新闻,电池,空,宁德时代,蔚来,中游,下游,空
第一类新闻,液化天然气,空,大阪燃气,新的哈萨林2号运营商,中游,下游,空。
第一类新闻,马达铁芯,空,隆盛新能源,金康动力,下游,上游,空。
第一类新闻,风电,空,龙源技术,国能科环望奎新能源有限公司,下游,上游,空
第一类新闻,工业机器人,空,上海市,空,下游,空,空，订单金额：空
第一类新闻,工程勘察设计,空,优刻得,天强管理咨询,中游,中游,空
第一类新闻,空,空,果麦文化,东方甄选,中游,下游,空
第一类新闻,卫星通讯,Starlink,SpaceX,嘉年华邮轮(CCL.N),上游,下游,空
第一类新闻,电力设备,空,国网四川电力,空,中游,空,空
第一类新闻,密封垫片,空,密封科技,"下游客户,,,商用车市场",空,"下游客户产业链位置,,中游",订单金额：空
第一类新闻,土建施工,空,兵团交建,空,下游,下游,10.3亿元
第一类新闻,新冠疫苗,空,Moderna,中国,中游,中游,空
第一类新闻,互联网金融,空,腾讯云,空,中游,空,空
第一类新闻,瓦线,空,京山轻机,空,上游,中游,空
第一类新闻,服装加工,空,上工申贝集团,江苏阳光集团,中游,中游,空。
第一类新闻,信用风险缓释工具,CRMW,空,空,空,空,空
第一类新闻,镜头模块,空,Genius Electronic Optical (GSEO),苹果公司,中游,下游,空。
第一类新闻,空,空,佛山照明,中筑天佑,下游,中游,空
第一类新闻,智能汽车,空,百度Apollo,福州新区,中游,空,空。
第一类新闻,汽车,设计文件,小米,供应商,"下游,,,模具打样公司",空,空。
第一类新闻,云服务,空,道富银行(STT.N),"亚马逊(AMZN.O),,,微软(MSFT.O)",空,"上游,,,上游",空。
第一类新闻,空,空,Meta Platform,BuzzFeed,中游,中游,数百万美元。
第一类新闻,锂电池,锂电池极片设备,空,北方华创,空,空,空
第一类新闻,光刻胶,ArF类,空,国内晶圆制造企业,空,中游,空
第一类新闻,半导体,碳化硅,安森美,大众汽车,中游,下游,空
第一类新闻,OLED面板,空,三星显示器,LG电子,上游,下游,空
第一类新闻,锂盐,空,雅化集团,特斯拉,上游,下游,空
第一类新闻,铁矿石,中国矿运有限公司,淡水河谷（国际）有限公司,下游,上游,空,1亿吨。
第一类新闻,锂矿物种,空,赣锋锂业,PMI,上游,下游,空
第一类新闻,AR/VR,空,联合光电,"乐相（大朋）,,,小派,,,亮亮视野,,,纳德",整机组装,"|中游,,,下游",空
第一类新闻,天然气,空,壳牌公司,空,上游,空,
第一类新闻,天然气,空,壳牌公司,空,下游,空,
第一类新闻,车用芯片,空,鸿海电子,通用汽车,中游,下游,空
第一类新闻,光伏领域,空,力合微,"太阳能光伏组件生产企业,,,光伏智能接线盒企业,,,电池企业,,,智慧管理系统开发及集成商",空,空,空
第一类新闻,空,IntelligentRAN 5GtoB Suite端网智能运维方案,华为,天津移动,中游,下游,空
第一类新闻,弗迪动力,空,宁容电子,深圳市比亚迪供应链管理有限公司,中游,下游,空
第一类新闻,Chatgpt,空,创维数字,空,中游,空,空
第一类新闻,Chatgpt,空,创维数字,空,下游,空,空
第一类新闻,空,空,铭利达,下游公司,空,空,空
第一类新闻,人工智能,智能对话平台,初灵信息公司,用户,中游,中游,空
第一类新闻,汽车,空,本田技研科技（中国）有限公司,本田生产技术（中国）有限公司,下游,中游,空
第一类新闻,电动汽车,空,LG能源,通用汽车,中游,中游,空
第一类新闻,电池,空,LG能源,通用汽车,上游,中游,空
第一类新闻,新能源领域（锂电及其产业链、光伏、新能源车等）,空,音飞储存,"宁德时代,,,比亚迪,,,欣旺达,,,松下,,,中航新创,,,蜂巢能源,,,贝特瑞,,,鸿博斯特,,,红太阳光电,,,瑞阳新能源,,,尚德",中游,下游,空。
第一类新闻,建筑材料,环保生态墙地砖,成都建筑材料工业设计研究院有限公司,河北清峰绿能固废处置有限公司,中游,下游,53.76亿元。
第一类新闻,口腔护理产品,空,狮王,空,中游,空,空
第一类新闻,安评业务,空,康龙化成,空,上游,下游,空
第一类新闻,空,空,通达动力,小米汽车,中游,下游,空。
第一类新闻,汽车零部件,空,模塑科技,小米汽车,中游,下游,空
第一类新闻,海洋防污剂产品,北京奥得赛化学有限公司,北京金奥海洋科技发展有限责任公司,上游,下游,空,空
第一类新闻,电力产业,空,重庆水务,九龙县汤古电力开发有限公司,下游,下游,1.4亿元
第一类新闻,交通运输,小三通,空,空,中游,空,空
第一类新闻,医疗保健,空,金陵药业,安庆市石化医院,上游,下游,空
第一类新闻,智能汽车,空,博世中国,北汽集团,中游,中游,空
第一类新闻,氢能,空,"石化机械,,,中石化集团公司","上游,下游",上游,下游,空。
第一类新闻,储能业务,空,上能电气,深圳市欣旺达能源科技,上游,中游,空
第一类新闻,电池,空,LG能源,FEPS,上游,中游,19GWh。
第一类新闻,混合现实（MR）平台,空,三星,谷歌，高通,下游，下游,空,空
第一类新闻,太阳能发电站,空,Wollar Solar,Jinko Solar Australia,中游,下游,4400万美元。
第一类新闻,VR内容,空,恒信东方,Nreal,上游,中游,空
第一类新闻,高压线缆,空,卡倍亿,"比亚迪,,,吉利",下游,下游,空
第一类新闻,化工原料,空,瑞联新材,海融医药,上游,中游,空
第一类新闻,三维预览,空,空,空,中游,空,空。
第一类新闻,药品,Paxlovid,华海药业,辉瑞,下游,上游,空
第一类新闻,服务器,空,川大智胜,华为,中游,上游,空
第一类新闻,空,募投扩产项目设备,空,公司,下游,空,空。
第一类新闻,AI技术,GPT技术,空,因赛集团,空,空,空。
第一类新闻,空,空,福特汽车,空,下游,卖,13.49美元。
第一类新闻,钙钛矿设备,空,利元亨,"冯•阿登纳,,,上海森松",空,空,空
第一类新闻,半导体洁净机械手,空,空,空,上游,中游,空
第一类新闻,EFEM产品,空,空,空,中游,空,空
第一类新闻,真空传输平台,空,空,空,上游,中游,空
第一类新闻,人工智能,图灵机器人开放平台,奥飞娱乐,北京光年无限科技有限公司,上游生产商,中游供应商,空
第一类新闻,算力服务,空,奥飞数据,百度,中游,上游,空
第一类新闻,电池,空,长久物流,北京昇科能源科技有限责任公司,中游,中游,空
第一类新闻,民用飞机复合材料零部件,波音,中国航空工业集团有限公司,上游,下游,空,空。
第一类新闻,新能源,空,中兴通讯,双登集团,下游,中游,空
第一类新闻,锂,Livista Energy,CAA Mining,中游,中游,空,空。
第一类新闻,复合铜箔,空,双星新材,空,上游,空,空
第一类新闻,功率芯片,空,澄天伟业,空,上游,空,空
第一类新闻,电池级氢氧化锂,雅化锂业,LGC,上游,下游,空,约30000吨
第一类新闻,建筑业,空,北新融建,大南街幼儿园花滩总部,中游,下游,1.08亿元
第一类新闻,光伏硅片,空,天准科技,客户,中游,下游,8110万元
第一类新闻,车规级PM2.5传感器总成,空,四方光电,欧洲著名主机厂,中游,下游,3.56亿元
第一类新闻,车载人机交互,空,四维图新,普强公司,中游,中游,空
第一类新闻,智能语音客服,空,普强公司,空,中游,空,空
第一类新闻,纳微米材料,空,远翔新材,纳微微球研究所,中游,中游,空
第一类新闻,配网设备,"10KV油浸式变压器(非晶合金型除外),10KV预装式变电站(欧式,紧凑式),10KV户外开关箱配置SF6全绝缘断路器自动化成套柜,10KV柱上真空短路器自动化成套设备",石家庄科林电气设备有限公司,南方电网公司,中游,下游,1.9816亿元含税。
第一类新闻,人工智能,ChatGTP类人工智能应用,空,首都在线,空,中游,空
第一类新闻,空,汉得信息,百度,空,中游,中游,空
第一类新闻,云计算,智慧人大平台解决方案,中科信息,华为,中游,中游,空
第一类新闻,工业自动化业务,空,英威腾,空,华南基地,上游,空
第一类新闻,除工控业务以外的其他业务,空,空,英威腾,华南基地,上游,空
第一类新闻,OLED屏幕,空,"三星,,,LG","中游,,,中游",空,空,空
第一类新闻,汽车,内饰皮革,兴业科技控股子公司宏兴汽车皮革,"蔚来汽车,理想汽车,赛里斯问界系列,哪吒汽车,吉利汽车","中游,,,下游,,,空",空,空
第一类新闻,电池,空,金龙羽,空,空,研发阶段,空
第一类新闻,聊天机器人,空,京东,空,上游,空,空
第一类新闻,空,空,中铝物流集团,中铁集装箱公司,中游,下游,空
第一类新闻,太阳能业务,空,科森科技,特斯拉,中游,中游,空
第一类新闻,空,ChatGPT功能,昆仑万维,Opera浏览器,上游,下游,空。
第一类新闻,服务器,空,"海得控制,,,空","上游,,,空",空,空,空
第一类新闻,航空航天金属软管,空,航天晨光,"沈飞,成飞,西飞","下游,下游,下游",空,空。
第一类新闻,家电,空,苏宁易购,美的,中游,下游,240亿元
第一类新闻,新材料,空,中国建材集团,华为技术,中游,中游,空
第一类新闻,预制菜产业,空,"国联,,恒兴",空,空,空,空
第一类新闻,空,空,光环新网,百度,中游,下游,空
第一类新闻,云计算,空,光环新网,百度,中游,中游,空
第一类新闻,飞机测控产品,空,西测测试公司,中航电测公司,中游,中游,空。
第一类新闻,电阻应变计,空,西测测试公司,中航电测公司,中游,中游,空。
第一类新闻,应变式传感器,空,西测测试公司,中航电测公司,中游,中游,空。
第一类新闻,称重仪表,空,西测测试公司,中航电测公司,中游,中游,空。
第一类新闻,机动车检测系统,空,西测测试公司,中航电测公司,中游,中游,空。
第一类新闻,新能源重卡,空,成渝电走廊,空,上游,下游,空
第一类新闻,空,空,中铁装配式建筑科技有限公司,桂林和翼房地产开发有限公司,中游,下游,2亿元。
第一类新闻,空,空,菜鸟,联合利华中国,中游,上游,空。
第一类新闻,零部件,钟形壳、三柱壳、三球销部件,万向钱潮,特斯拉,下游,上游,空
第一类新闻,铁矿石,空,淡水河谷,中国钢铁工业协会副会长骆铁军,中游,空,空。
第一类新闻,汽车,空,毅昌科技,"比亚迪,,,奇瑞新能源,,,小鹏汽车,,,零跑汽车,,,合众汽车",上游,空,空
第一类新闻,广告,空,天龙集团,网易旗下部分子公司,下游,上游,空
第一类新闻,服务器,华为,银信科技,华为存储,中游,上游,空
第一类新闻,半导体,SiC晶锭激光切片机,大族激光,客户,空,空,空
第一类新闻,铁矿石和焦煤,空,必和必拓集团,中国钢铁工业协会,中游,上游,空
第一类新闻,固态电池,空,"利元亨,,,国轩高科,,,苏州清陶能源","中游,,,中游,,,中游",空,空,空
第一类新闻,大数据方案,空,众合科技,空,中游,空,空。
第一类新闻,汽车,转向联接器,北京奔驰汽车有限公司,梅赛德斯-奔驰(中国)汽车销售有限公司,中游,下游,空
第一类新闻,物流,空,阿里巴巴国际站,义乌中心仓,中游,下游,空
第一类新闻,智能装备,空,巨一科技,"大众,,,通用,,,奔驰,,,捷豹路虎,,,特斯拉,,,蔚来,,,小鹏,,,理想汽车",空,空,空。
第一类新闻,车联网,空,万通智控,空,上游,下游,空
第一类新闻,新能源,总成配套服务,信质集团,理想,中游,下游,空
第一类新闻,塔筒,华电重工,华电木垒,上游,下游,3.07亿元（含税）,
第一类新闻,光储氢系统,空,海泰新能,清华大学,中游,上游,空
第一类新闻,空,空,视觉中国,百度旗下AI作画平台文心一格,空,空,空
第一类新闻,印染装备制造,空,远信工业,空,中游,空,3356.7万元
第一类新闻,铌酸锂高速调制器,空,光库科技,空,中游,空,空
第一类新闻,中央空调节能控制,空,达实智能,空,中游,下游,空
第一类新闻,Micro OLED,SK海力士,LG Display,中游,中游,空,空。
第一类新闻,云计算,空,拓尔思,阿里云计算有限公司,上游,中游,空
第一类新闻,非车险,空,空,空,空,空,
第一类新闻,钙钛矿,空,帝尔激光公司,空,中游,空,订单金额：空
第一类新闻,储能,空,川环科技,"比亚迪,,,英杰电气,,,西安奇点",中游,空,空
第一类新闻,空,空,孚能科技,Mercedes-Benz AG,下游,上游,空。
第一类新闻,高带宽内存,HBM,SK海力士,三星,供应链位置空,中游,订单金额空
第一类新闻,光伏电池,帝尔,多个头部客户,下游,上游,空,订单金额：空
第一类新闻,公铁合建超短边跨双塔双索面混凝土—钢箱桁混合组合梁斜拉桥,空,空,空,空,空,空
第一类新闻,光伏支架,空,清源科技,北清光伏宝应鲁垛,中游,中游,空
第一类新闻,代表空,国产操作系统和数据库,空,"中国移动各省公司,专业公司",空,下游,空物流订单。
第一类新闻,光伏,微型逆变器,空,海外知名光伏客户,空,空,ODM服务
第一类新闻,集成电路产业,空,滨江区集成电路产业集群,空,中游,空,空
第一类新闻,集成电路产业,空,富阳区集成电路产业集群,空,中游,空,空
第一类新闻,光伏设备,钙钛矿激光类设备,空,光伏头部企业,空,空,空。
第一类新闻,空,晶圆,多家晶圆厂,空,空,空,空
第一类新闻,太阳能光伏设备,空,古鳌科技,比太科技,中游,中游,空。
第一类新闻,汽车,纯电平台智能制造产线,国机汽车,上汽通用五菱汽车,中游,下游,2.68亿元
第一类新闻,智能技术,文心一言,蓝色宇宙,百度,中游,下游,空
第一类新闻,人工智能技术,空,神思电子,服务大厅客户,空,下游,空。
第一类新闻,烟酰胺单核苷酸,空,普利制药,空,上游,下游,空
第一类新闻,体育类培训,空,空,空,中游,空,空
第一类新闻,游戏业务,空,拓维信息,百度,中游,下游,空
第一类新闻,磁性材料,横店东磁,特斯拉,上游,下游,空,空。
第一类新闻,ADAS,空,德赛西威,空,中游,空,空
第一类新闻,空,空,茅台集团,海尔集团,中游,中游,空。
第一类新闻,白酒,空,茅台集团,复星集团,中游,中游,空。
第一类新闻,站台门设备,空,鼎汉技术,北京市轨道交通建设管理有限公司,中游,下游,9350.17万元
第一类新闻,行业云,空,中国稀土集团有限公司,中国移动通信集团有限公司,中游,中游,空
第一类新闻,汽车电子,空,宁波峰梅视讯,宁波华翔,上游,下游,1324万元
第一类新闻,3D内容场景,空,风语筑,百度,中游,中游,空
第一类新闻,光伏,空,"日出东方,,,华能","空,,,空","下游,,,上游",空,100MWp
第一类新闻,空,空,汤臣倍健,美团买药,中游,下游,空
第一类新闻,显示模组,VR Quest2,长信科技,Meta,中游,上游,空。
第一类新闻,PHY芯片,空,裕太微,下游客户,中游,下游,空
第一类新闻,人工智能,空,通富微电,空,中游,空,空
第一类新闻,文本处理,文心一言,百度,空,"TPG中游,,,MEG上游",空,空
第一类新闻,人工智能,文心一言,高途,百度,下游,上游,空
第一类新闻,高速公路,蓉城二绕公司,路桥集团,四川成渝,中游,中游,11.22亿元。
第一类新闻,AMOLED,空,联得装备,京东方,中游,下游,8531.5万元
第一类新闻,水资源配置工程,空,粤水电,空,上游,中游,17.71亿元
第一类新闻,新能源材料,湿法冶炼项目设备,伟明环保,青美邦新能源材料有限公司,上游,下游,4.8亿元。
第一类新闻,"锂离子动力电池,动力润滑油,动力电池回收",龙蟠科技,上汽通用五菱,中游,中游,空,空。
第一类新闻,空,空,双良节能,控股子公司,上游,下游,2.59亿。
第一类新闻,电池,空,宁德时代,福特汽车,中游,上游,空
第一类新闻,空,空,春雪食品,肯德基,中游,上游,空
第一类新闻,AI智能对话,文心一言,东软集团,百度,中游,中游,空
第一类新闻,激光雷达,空,瑞丰光电,客户,中游,下游,空
第一类新闻,钙钛矿电池,空,中信建投,空,上游,空,空
第一类新闻,空,空,中国,厄瓜多尔,中游,中游,空
第一类新闻,多肽药物,未提及,雾芯科技,深圳湾实验室坪山生物医药研发转化中心,空,空,空。
第一类新闻,片式电阻器,空,风华高科,空,中游,空,空
第一类新闻,新能源汽车,空,杭萧钢构（安徽）有限公司,空,中游,空,空。
第一类新闻,数字资产,空,数藏发行平台,中国数字资产交易平台,中游,空,空
第一类新闻,空,空,润和软件,人工智能聊天系统,中游,上游,空
第一类新闻,屏幕,空,京东方,三星,中游,下游,空
第一类新闻,真空泵,空,汉钟精机,"晶盛,,,隆基,,,捷佳,,,高景,,,双良,,,晶科,,,晶澳",下游,中游,空
第一类新闻,重型机械,空,连云港中重重型机械有限责任公司,中信重工,上游,下游,空
第一类新闻,智能家居,文心一言AI,美的集团,百度,中游,上游,空
第一类新闻,智能家居,AI生态,美的集团,百度文心一言,中游,中游,空
第一类新闻,服务器,空,神州数码云科信息技术有限公司,中国联通,中游,下游,"9.54亿元(不含税),,,4.83亿元(不含税)"
第一类新闻,LPG液化气,空,东华能源,宁波优嘉清洁能源供应链有限公司,上游,下游,1.27亿元
第一类新闻,清洁能源,空,东华能源,宁波优嘉清洁能源供应链有限公司,上游,下游,1.27亿元。
第一类新闻,空,浙江久立特材换热单元预制件建设项目,久立特材,久立建设,中游,下游,5480万元
第一类新闻,空,空,东湖高新,子公司,上游,空,3.65亿元。
第一类新闻,电动汽车,塔塔汽车,优步,上游,下游,空,2.5万辆。
第一类新闻,预镀镍材料,东方电热,东山精密,下游,下游,空,空
第一类新闻,人工智能,空,拓维信息,华为,中游,上游,空
第一类新闻,集成电路与模组封测业务,空,高通公司,美光科技,上游,下游,空
第一类新闻,版本更新,ChatGPT,亿联网络,微软Teams,中游,中游,空
第一类新闻,语音智能,ChatGPT,微软,亿联网络,中游,中游,空
第一类新闻,水资源配置工程,空,粤水电,空,中游,空,20.91亿元
第一类新闻,水资源配置工程,空,广东省源天工程有限公司,空,中游,空,16.96亿元
第一类新闻,科技产品,空,广发银行,中兴通讯,中游,下游,空
第一类新闻,空,空,保险机构,蚂蚁保平台,上游,中游,187.5亿元。
第一类新闻,空,空,新致软件,百度文心一言,中游,中游,空
第一类新闻,硅料,空,集邦咨询,空,上游,下游,空
第一类新闻,储能,动力电池,欣旺达,中核汇能,供应链位置未知,下游,空
第一类新闻,空,空,科大国创,空,空,空,空
第一类新闻,空,生成式人工智能,百度,空,上游,下游,空
第一类新闻,座舱产品,第三代智能座舱域控制器、4K高清屏等座舱产品,德赛西威,特定对象（未说明）,中游,下游,空
第一类新闻,生猪,空,京基智农,深圳市场,中游,下游,空。
第一类新闻,就业见习,空,空,空,上游,中游,空
第一类新闻,空,空,空,空,空,权益维护,空
第一类新闻,船艇,128米趸船,江龙船艇,"芜湖文旅,,,芜湖交投","上游,,空","下游,,空",1.13亿元。
第一类新闻,公有云服务,空,贝壳,腾讯云,中游,上游,空
第一类新闻,电子元器件,空,华贸物流,天马微电子,中游,上游,5000万元。
第一类新闻,空,单采血浆,天坛生物,国药集团贵州血液制品有限公司罗甸中生单采血浆站,空,下游,空
第一类新闻,新能源商用车,空,如果科技,空,上游,中游,空
第一类新闻,复合铜箔,空,双星新材,空,中游,空,空
第一类新闻,智慧交通领域,4D毫米波雷达,华设集团,江苏源驶科技,上游,中游,空。
第一类新闻,充电桩,充电模块,空,麦格米特,空,中游,空
第一类新闻,医学检验及病理诊断,空,金域医学,腾讯,中游,中游,空
第一类新闻,集装箱多式联运,空,中国铁物,中铁集装箱运输有限责任公司,中游,中游,空。
第一类新闻,NLP,Transformer,瑞芯微,有道,上游,下游,空
第一类新闻,光伏发电,空,粤水电建筑安装建设有限公司,空,中游,空,98.28亿元。
第一类新闻,材料,空,南方科技大学,豪鹏科技,中游,中游,空
第一类新闻,新能源车型零部件,赛力斯,铭科精技,中游,中游,空,空。
第一类新闻,AR设备,空,立讯精密,苹果,中游,中游,空
第一类新闻,航空测量,空,中海达,大疆,空,空,空
第一类新闻,基因编辑技术,空,莫德纳公司,Life Edit,中游,中游,空
第一类新闻,空,百度文心一言,荣联科技集团,百度智能云,空,下游,空
第一类新闻,空,空,京东物流,康师傅控股有限公司,中游,下游,空
第一类新闻,天然气,空,中国石化天然气有限责任公司,国新能源,上游,下游,空
第一类新闻,钙钛矿,空,"中自科技,,,空,,,空","上游,,空,,空",空,空,空
第一类新闻,跨境电商,空,优壹电商,拼多多,中游,下游,空
第一类新闻,电力,空,宝新能源,广东陆丰甲湖湾电厂,上游,中游,空
第一类新闻,新能源汽车零部件,空,贝斯特,众多知名企业,"中游,,,空",空,空
第一类新闻,建材,瓦线,空,京山轻机,空,空,空
第一类新闻,免热合金材料,空,顺博合金,少数重点客户,中游,空,空。
第一类新闻,文心一言,空,百度,"互联网行业,,,媒体行业,,,金融行业,,,保险行业,,,汽车行业,,,企业软件行业",上游,中游,空
第一类新闻,电机,空,江苏机电公司,"西门子传动技术（上海）公司,中科航空动力（株洲）公司","下游,下游",空,空。
第一类新闻,电子元器件,空,多家晶圆厂商,博通集成,中游,下游,空
第一类新闻,车载毫米波雷达和激光雷达应用产品,空,中京电子,相关客户,中游,下游,空
第一类新闻,储能设备,消防设备,威海广泰,客户,中游,中游,空。
第一类新闻,高效组件,通威,Energy 3000 Solar GmbH,上游,下游,空,1GW
第一类新闻,5G,空,航天发展,空,中游,空,空。
第一类新闻,太阳能电池技术,钙钛矿电池技术,"纤纳光电,,,亚玛顿","中游,,,上游",空,空,空
第一类新闻,空,浸没式液冷技术,网宿科技旗下子公司绿色云图,戴尔科技集团,中游,上游,空
第一类新闻,蓝牙TPMS,空,特斯拉,国内新能源整车厂,中游,中游,空
第一类新闻,生鲜,菜品,空,大商超事业群,空,空,空
